Inconsistent Movie Records: 
The following [40] records are dropped because of violating constraints in the database
Star Details - ID:WiW30, Title:Buena Vista Social Club, Year:19yy, Director:Wenders.
Star Details - ID:AS32, Title:Raging Angels, Year:199x, Director:Alan~Smithee.
Star Details - ID:AS22, Title:Morgan Stewart's Coming Home, Year:199x, Director:Alan~Smithee.
Star Details - ID:, Title:The Killers, Year:1946, Director:R.Siodmak.
Star Details - ID:, Title:The Spiral Staircase, Year:1948, Director:R.Siodmak.
Star Details - ID:WS45, Title:Catherine of Russia, Year:19yy, Director:W.Staudte.
Star Details - ID:DLy25, Title:Mulholland Drive, Year:19yy, Director:D.Lynch.
Star Details - ID:RHd2, Title:Stop Train 349, Year:199x, Director:Haedrich .
Star Details - ID:MS0, Title:The Eternal City, Year:196x, Director:Scorsese.
Star Details - ID:AbK15, Title:Taste of Cherry, Year:19yy, Director:Kiarostami.
Star Details - ID:, Title:Phantom Lady, Year:1944, Director:R.Siodmak.
Star Details - ID:, Title:Pi\`eges, Year:1939, Director:R.Siodmak.

The following [11952] records are dropped because same record exists in database
Star Details - ID:VF23, Title:The Way of All Flesh, Year:1928, Director:V.Fleming.
Star Details - ID:HHa39, Title:Fourteen Hours, Year:1951, Director:Hathaway.
Star Details - ID:ClC18, Title:La femme infidele, Year:1968, Director:Chabrol.
Star Details - ID:JPd10, Title:Garrincha, Alegria do Povo, Year:1962, Director:deAndrade.
Star Details - ID:AbP10, Title:The Eyes of Youth, Year:1919, Director:Albert~Parker.
Star Details - ID:RFl103, Title:The Children of Alda Nuova, Year:1962, Director:Florey.
Star Details - ID:EL67, Title:To Be or Not To Be, Year:1942, Director:Lubitsch.
Star Details - ID:CSr25, Title:Ay, Carmela!, Year:1991, Director:Saura.
Star Details - ID:StF20, Title:High Fidelity, Year:2000, Director:Frears.
Star Details - ID:EDm37, Title:Soldier of Fortune, Year:1955, Director:Dmytryk.
Star Details - ID:BW16, Title:Some Like It Hot, Year:1959, Director:B.Wilder.
Star Details - ID:IS6, Title:Midnight Cowboy, Year:1969, Director:Schlesinger.
Star Details - ID:RAl20, Title:The Young One, Year:1957, Director:Altman.
Star Details - ID:RMu33, Title:Summer of '42, Year:1971, Director:Mulligan.
Star Details - ID:MF7, Title:Ragtime, Year:1981, Director:Forman.
Star Details - ID:RcB19, Title:Happy Ending, Year:1970, Director:R.Brooks.
Star Details - ID:JaS13, Title:The Dark Pool, Year:1963, Director:Smight.
Star Details - ID:PS21, Title:The Beautiful Blonde from Bashful Bend, Year:1949, Director:P.Sturges.
Star Details - ID:JLo4, Title:M, Year:1951, Director:Losey.
Star Details - ID:PBo7, Title:Daisy Miller, Year:1974, Director:Bogdanovich.
Star Details - ID:LoM6, Title:Payment Deferred, Year:1932, Director:L.Mendes.
Star Details - ID:CR18, Title:The Third Man, Year:1949, Director:C.Reed.
Star Details - ID:JTo7, Title:The Big Bang, Year:1990, Director:Toback.
Star Details - ID:NRo12, Title:Through the Wire, Year:1980, Director:Rosenbloom.
Star Details - ID:C76, Title:Mammy, Year:1930, Director:Curtiz.
Star Details - ID:MtM10, Title:The Opposite Sex and How to Live with Them, Year:1993, Director:Meshekoff.
Star Details - ID:JLG1, Title:A Bout de Souffle, Year:1959, Director:Godard.
Star Details - ID:SOe15, Title:Nothing to Loose, Year:1997, Director:Oedekerk.
Star Details - ID:RSt331, Title:Heartbeat, Year:1958, Director:R.Stevens.
Star Details - ID:IrK14, Title:The Empire Strikes Back, Year:1980, Director:Kershner.
Star Details - ID:StR10, Title:The Ex-Mrs.~Bradford, Year:1936, Director:S.Roberts.
Star Details - ID:ADw35, Title:Heidi, Year:1937, Director:Dwan.
Star Details - ID:KHu21, Title:Oh Alfie, Year:1975, Director:K.Hughes.
Star Details - ID:Dli16, Title:The Bourne Identity, Year:2002, Director:Liman.
Star Details - ID:ALv100, Title:Decoy, Year:1956, Director:Laven.
Star Details - ID:ADx11, Title:De Man Die Zijn Haar Kort Liet Knippen, Year:1967, Director:Delvaux.
Star Details - ID:JSg5, Title:One Spy Too Many, Year:1966, Director:Sargent.
Star Details - ID:CBw33, Title:Conquest, Year:1937, Director:Cl.Brown.
Star Details - ID:BnR10, Title:The Young Poisoner's Handbook, Year:1996, Director:B.Ross.
Star Details - ID:H64, Title:The Perfect Crime, Year:1957, Director:Hitchcock.
Star Details - ID:JCw62, Title:Libeled Lady, Year:1936, Director:Conway.
Star Details - ID:LM110, Title:Ocean's Eleven, Year:1960, Director:Milesstone.
Star Details - ID:RDL8, Title:Petulia, Year:1968, Director:R.Lester.
Star Details - ID:H19, Title:Juno And The Paycock, Year:1930, Director:Hitchcock.
Star Details - ID:JG10, Title:Un Chant d'Amour, Year:1950, Director:Genet.
Star Details - ID:RAl71, Title:Thieves Like Us, Year:1973, Director:Altman.
Star Details - ID:PCr10, Title:The Assassin, Year:1973, Director:Crane.
Star Details - ID:WDM20, Title:Craig's Wife, Year:1928, Director:W.DeMille.
Star Details - ID:H22, Title:Rich and Strange, Year:1932, Director:Hitchcock.
Star Details - ID:RFG9, Title:The Champeen, Year:1923, Director:McGowan.
Star Details - ID:StB5, Title:Julius Caesar, Year:1970, Director:Burge.
Star Details - ID:ElN11, Title:The Male Animal, Year:1942, Director:Nugent.
Star Details - ID:MeG20, Title:The Magician of Lubin, Year:1979, Director:Golan.
Star Details - ID:HB80, Title:Broadway Melody, Year:1929, Director:H.Beaumont.
Star Details - ID:MeW30, Title:Lady Frankenstein, Year:1972, Director:M.Welles.
Star Details - ID:RFu11, Title:The Abominable Dr. Phibes, Year:1971, Director:Fuest.
Star Details - ID:PMe30, Title:The Krays, Year:1990, Director:Medak.
Star Details - ID:ThI20, Title:Custer's Last Fight, Year:1912, Director:Th.Ince.
Star Details - ID:JMa50, Title:Music in the Air, Year:1934, Director:J.May.
Star Details - ID:TFi12, Title:The Mummy, Year:1959, Director:Fisher.
Star Details - ID:MF18, Title:Man in the Moon, Year:1999, Director:Forman.
Star Details - ID:IPK10, Title:The Locusts, Year:1997, Director:Kelley.
Star Details - ID:WaF35, Title:Saloon Bar, Year:1940, Director:W.Forde.
Star Details - ID:AM36, Title:Angel On My Shoulder, Year:1946, Director:Mayo.
Star Details - ID:MBr10, Title:Beverly Hills Cop, Year:1984, Director:Brest.
Star Details - ID:WS40, Title:Die Dreigroschenoper, Year:1963, Director:W.Staudte.
Star Details - ID:ICa20, Title:Memoirs of an Invisible Man, Year:1991, Director:Carpenter.
Star Details - ID:Z0240, Title:Romeo and Juliet, Year:1911, Director:Unknown2.
Star Details - ID:TRb16, Title:Dead Man Walking, Year:1996, Director:T.Robbins.
Star Details - ID:RZL20, Title:The Great Ziegfeld, Year:1936, Director:Leonard.
Star Details - ID:WKl17, Title:Mister Freedom, Year:1968, Director:Klein.
Star Details - ID:SSR12, Title:True West, Year:1990, Director:Sheppard.
Star Details - ID:DWG40, Title:The Raven, Year:1912, Director:Griffith.
Star Details - ID:RoA26, Title:The Flight of the Phoenix, Year:1965, Director:Aldrich.
Star Details - ID:HvH10, Title:Terror at Northfield, Year:1963, Director:Hart.
Star Details - ID:ASj30, Title:Barabbas, Year:1953, Director:Sjoberg.
Star Details - ID:HLv10, Title:Midnight Edition, Year:1994, Director:Libov.
Star Details - ID:PDu10, Title:Experience Preferred...But Not Essential, Year:1971, Director:Duffell.
Star Details - ID:RSp20, Title:and the Band Played On, Year:1993, Director:Spottiswoode.
Star Details - ID:DMa13, Title:Homicide, Year:1991, Director:Mamet.
Star Details - ID:SBo10, Title:Prisoner of the Mountain, Year:1997, Director:Bodrov.
Star Details - ID:InH15, Title:Godzilla vs. the Thing, Year:1964, Director:Honda.
Star Details - ID:WaB10, Title:Little Miss Marker, Year:1980, Director:W.Bernstein.
Star Details - ID:GC48, Title:My Fair Lady, Year:1963, Director:Cukor.
Star Details - ID:EK18, Title:The Last Tycoon, Year:1976, Director:E.Kazan.
Star Details - ID:HaB5, Title:Unchained, Year:1955, Director:Bartlett.
Star Details - ID:MAp21, Title:21, Year:1978, Director:Apted.
Star Details - ID:DSW1, Title:Cannery Row, Year:1982, Director:D.S.Ward.
Star Details - ID:NML2, Title:Horse Feathers, Year:1932, Director:McLeod.
Star Details - ID:JLG9, Title:Contempt, Year:1963, Director:Godard.
Star Details - ID:TiB1, Title:Pee-Wee's Big Adventure, Year:1985, Director:T.Burton.
Star Details - ID:PAd13, Title:Bagdad Cafe, Year:1989, Director:Adlon.
Star Details - ID:RbR18, Title:The Ghosts of Missisippi, Year:1996, Director:R.Reiner.
Star Details - ID:WMi19, Title:Blacks in the Military, Year:1985, Director:Miles.
Star Details - ID:AnB5, Title:Honeymoon in Vegas, Year:1981, Director:A.Bergman.
Star Details - ID:CDM45, Title:The Ten Commandments, Year:1923, Director:DeMille.
Star Details - ID:RHy10, Title:The Wicker Man, Year:1978, Director:R.Hardy.
Star Details - ID:CMk40, Title:Sans Soleil, Year:1982, Director:Marker.
Star Details - ID:AWj50, Title:The Horse Hair Ring, Year:1992, Director:Wajda.
Star Details - ID:FL41, Title:Moonfleet, Year:1955, Director:F.Lang.
Star Details - ID:CSm10, Title:Pippi Longstocking, Year:1997, Director:C.Smith.
Star Details - ID:CBw35, Title:Idiot's Delight, Year:1939, Director:Cl.Brown.
Star Details - ID:MZa25, Title:The Naked Truth, Year:1956, Director:Zampi.
Star Details - ID:RoJ1, Title:The Killing Fields, Year:1984, Director:R.Joffe.
Star Details - ID:LM10, Title:The Front Page, Year:1930, Director:Milesstone.
Star Details - ID:S16, Title:The Devil is a Woman, Year:1935, Director:Sternberg.
Star Details - ID:WiB199, Title:Bela Lugosi Meets a Brooklyn Gorilla, Year:1952, Director:Beaudine.
Star Details - ID:MkD20, Title:The Village teacher, Year:1947, Director:Donskoi.
Star Details - ID:ADA10, Title:The Memory of the Other, Year:1914, Director:DegliAbbati.
Star Details - ID:GDo78, Title:Tony Rome, Year:1967, Director:G.Douglas.
Star Details - ID:JBC14, Title:The Big Show, Year:1960, Director:J.B.Clark.
Star Details - ID:JGo13, Title:The Medusa Touch, Year:1978, Director:Gold.
Star Details - ID:SGi2, Title:Waterloo Road, Year:1944, Director:Gilliat.
Star Details - ID:LeJ16, Title:Nine Girls, Year:1944, Director:Jason.
Star Details - ID:WAS70, Title:Girl Crazy, Year:1932, Director:Seiter.
Star Details - ID:NJ7, Title:In the Heat of the Night, Year:1967, Director:Jewison.
Star Details - ID:PCo16, Title:The House on Garibaldi Street, Year:1979, Director:Collinson.
Star Details - ID:HRi17, Title:Dreams That Money Can Buy, Year:1946, Director:Richter.
Star Details - ID:MNe22, Title:Into the West, Year:1993, Director:Newell.
Star Details - ID:JmF20, Title:Glengarry Glen Ross, Year:1992, Director:J.Foley.
Star Details - ID:NRe10, Title:Prelude to a Kiss, Year:1992, Director:Rene.
Star Details - ID:RMk10, Title:Once in a Lifetime, Year:1933, Director:Mack.
Star Details - ID:JN22, Title:Woman's World, Year:1954, Director:Negulesco.
Star Details - ID:WoP25, Title:The Storm, Year:2000, Director:Petersen.
Star Details - ID:PaJ2, Title:Ferry Pilot, Year:1941, Director:P.Jackson.
Star Details - ID:DOR5, Title:Cannibal Tours, Year:1989, Director:ORourke.
Star Details - ID:OW10, Title:The Trial, Year:1962, Director:Welles.
Star Details - ID:KSm1, Title:Clerks, Year:1995, Director:K.Smith.
Star Details - ID:MS19, Title:The King of Comedy, Year:1982, Director:Scorsese.
Star Details - ID:WaW5, Title:Life is Cheap, but Toilet Paper is Expensive, Year:1989, Director:Wang.
Star Details - ID:SGB90, Title:Adventures of Sir Galahad, Year:1951, Director:Bennet.
Star Details - ID:MaM1, Title:A Private Function, Year:1984, Director:Mobray.
Star Details - ID:LMa3, Title:The Lovers, Year:1958, Director:Malle.
Star Details - ID:AN10, Title:Too Much Too Soon, Year:1958, Director:Napoleon.
Star Details - ID:RSt113, Title:The Hidden Thing, Year:1956, Director:R.Stevens.
Star Details - ID:DSk34, Title:Lured, Year:1947, Director:Sirk.
Star Details - ID:KYo1, Title:Twilight of the Cockroaches, Year:1987, Director:K.Yoshida.
Star Details - ID:GTh10, Title:Carry On Sergeant, Year:1958, Director:G.Thomas.
Star Details - ID:RAl85, Title:Come Back to the Five and Dime, Jimmy Dean, Jimmy Dean, Year:1982, Director:Altman.
Star Details - ID:FSc13, Title:Iceman, Year:1984, Director:Schepisi.
Star Details - ID:RSp10, Title:Under Fire, Year:1983, Director:Spottiswoode.
Star Details - ID:JDe40, Title:The Manchurian Candidate, Year:2004, Director:J.Demme.
Star Details - ID:RlW10, Title:The Bat, Year:1926, Director:R.West.
Star Details - ID:ChC6, Title:Dance Hall, Year:1950, Director:Ch.Crichton.
Star Details - ID:WiC70, Title:Shanks, Year:1974, Director:W.Castle.
Star Details - ID:LSm13, Title:Tarzan and the Slave Girl, Year:1950, Director:Sholem.
Star Details - ID:StD51, Title:Charade, Year:1963, Director:Donen.
Star Details - ID:MWu10, Title:Der Lange Jammer, Year:1973, Director:Willutzki.
Star Details - ID:BrW5, Title:June Bride, Year:1949, Director:Windust.
Star Details - ID:RCn39, Title:Daylight, Year:1996, Director:R.Cohen.
Star Details - ID:HK80, Title:Captain from Castile, Year:1947, Director:H.King.
Star Details - ID:H78, Title:I Saw The Whole Thing, Year:1962, Director:Hitchcock.
Star Details - ID:SP25, Title:Castle Keep, Year:1964, Director:S.Pollack.
Star Details - ID:CAL40, Title:Marguerite de la Nuit, Year:1955, Director:AutantLara.
Star Details - ID:JoS10, Title:Cousins, Year:1989, Director:Schumacher.
Star Details - ID:WLa18, Title:The Little Princess, Year:1939, Director:W.Lang.
Star Details - ID:JuA102, Title:Safe Conduct, Year:1956, Director:Addis.
Star Details - ID:KoI35, Title:Alone in the Pacific, Year:1966, Director:Ichikawa.
Star Details - ID:KRu30, Title:Whore, Year:1991, Director:K.Russell.
Star Details - ID:RR1, Title:Ordinary People, Year:1980, Director:Redford.
Star Details - ID:WD105, Title:The Three Caballeros, Year:1945, Director:Disney.
Star Details - ID:GuS10, Title:Assunta Spina, Year:1915, Director:Serena.
Star Details - ID:LGt14, Title:Reach for the Sky, Year:1956, Director:L.Gilbert.
Star Details - ID:OlS3, Title:The Hand, Year:1986, Director:Ol.Stone.
Star Details - ID:BaD35, Title:Masquerade, Year:1965, Director:B.Dearden.
Star Details - ID:JLM13, Title:The Barefoot Contessa, Year:1954, Director:J.L.Mankiewicz.
Star Details - ID:HeB1, Title:King of the Night, Year:1975, Director:Babenco.
Star Details - ID:GlS10, Title:The Merchant of Venice, Year:1910, Director:loSavio.
Star Details - ID:FZe6, Title:Endless Love, Year:1981, Director:Zeffirelli.
Star Details - ID:BeH2, Title:Angels over Broadway, Year:1940, Director:Hecht.
Star Details - ID:PY7, Title:The Friends of Eddie Coyle, Year:1973, Director:Yates.
Star Details - ID:JCm5, Title:The Terminator, Year:1991, Director:J.Cameron.
Star Details - ID:SG20, Title:Les Deaux Couverts, Year:1932, Director:Guitry.
Star Details - ID:MiW35, Title:The Stone Killer, Year:1980, Director:Winner.
Star Details - ID:ToH26, Title:Lifeforce, Year:1985, Director:T.Hooper.
Star Details - ID:DDg13, Title:Big Daddy, Year:1999, Director:Dugan.
Star Details - ID:HWo1, Title:Drei von der Tankstelle, Year:1955, Director:Wolff.
Star Details - ID:MGe10, Title:Jennie Gerhardt, Year:1933, Director:Gering.
Star Details - ID:WDT20, Title:Huck and Tom, Year:1918, Director:W.D.Taylor.
Star Details - ID:PrH12, Title:The Eumendis, Year:1983, Director:P.Hall.
Star Details - ID:StH30, Title:Hitler, Year:1961, Director:Heisler.
Star Details - ID:VoS26, Title:The Tin Drum, Year:1979, Director:Schlondorff.
Star Details - ID:SDr1, Title:Love at First Bite, Year:1979, Director:Dragoti.
Star Details - ID:Z9340, Title:The Man With Three Wives, Year:1993, Director:UnYear93.
Star Details - ID:AWj15, Title:The Siberian Lady Macbeth, Year:1961, Director:Wajda.
Star Details - ID:ECn146, Title:Don't Bite Your Dentist, Year:1930, Director:Cline.
Star Details - ID:WlD37, Title:Dr.~Ehrlich's Magic Bullet, Year:1940, Director:Dieterle.
Star Details - ID:ADx20, Title:1001 Films, Year:1973, Director:Delvaux.
Star Details - ID:Z9625, Title:Fled, Year:1996, Director:UnYear96.
Star Details - ID:WlD34, Title:Blockade, Year:1938, Director:Dieterle.
Star Details - ID:LBe15, Title:Leon, the Professional, Year:1994, Director:Besson.
Star Details - ID:BrB27, Title:Last Dance, Year:1996, Director:Beresford.
Star Details - ID:MCJ1, Title:Scandal, Year:1989, Director:CatonJones.
Star Details - ID:DWG03, Title:Calamitous Elopement, Year:1908, Director:Griffith.
Star Details - ID:PCx18, Title:Vincent - The Life and Times of Vincent Van Gogh, Year:1987, Director:P.Cox.
Star Details - ID:ADr10, Title:The Love-Ins, Year:1967, Director:Dreifuss.
Star Details - ID:Z1546, Title:Heart and Soul, Year:1917, Director:Unknown15.
Star Details - ID:CMt10, Title:Daniel Boone, Year:1923, Director:Mitchell.
Star Details - ID:VSh9, Title:The Hard Way, Year:1943, Director:V.Sherman.
Star Details - ID:CoB15, Title:How to Undress in Public Without Undue Embarrassement, Year:1965, Director:Bennett.
Star Details - ID:DFi17, Title:The Game, Year:1997, Director:Fincher.
Star Details - ID:IHm10, Title:Gideon's Trumpet, Year:1980, Director:Houseman.
Star Details - ID:VoS22, Title:Coup de Grace, Year:1976, Director:Schlondorff.
Star Details - ID:CLa60, Title:The Merry Monahans, Year:1944, Director:Lamont.
Star Details - ID:GPC32, Title:Shadow Conspiracy, Year:1997, Director:Cosmatos.
Star Details - ID:DM100, Title:Triggers in Leash, Year:1955, Director:Medford.
Star Details - ID:KOl10, Title:White Fang 2, Myth of the White Wolf, Year:1994, Director:Olin.
Star Details - ID:Z4914, Title:Hi de Ho, Year:1930, Director:Unknown49.
Star Details - ID:RWF23, Title:Bolwieser, Year:1977, Director:Fassbinder.
Star Details - ID:SaP4, Title:The Wild Bunch, Year:1969, Director:Peckinpah.
Star Details - ID:ArP10, Title:Little Big Man, Year:1970, Director:A.Penn.
Star Details - ID:C98, Title:British Agent, Year:1934, Director:Curtiz.
Star Details - ID:CAm30, Title:A Couch in New York, Year:1998, Director:Akerman.
Star Details - ID:GaT7, Title:The Little Mermaid, Year:1989, Director:Trousdale.
Star Details - ID:RoT15, Title:On the Run, Year:1963, Director:Tronson.
Star Details - ID:JPa10, Title:Helpmates, Year:1932, Director:Parrott.
Star Details - ID:JLo25, Title:Romantic Englishwoman, Year:1975, Director:Losey.
Star Details - ID:VdS24, Title:The Garden of the Finzi-Continis, Year:1971, Director:deSica.
Star Details - ID:GoH10, Title:Final Arrangements, Year:1961, Director:Hessler.
Star Details - ID:AMy18, Title:Police Academy 5, Year:1988, Director:Myerson.
Star Details - ID:APe10, Title:Psycho III, Year:1986, Director:Perkins.
Star Details - ID:SL60, Title:Critical Care, Year:1997, Director:Lumet.
Star Details - ID:EOB1, Title:Mantrap, Year:1961, Director:OBrien.
Star Details - ID:EL41, Title:Rosita, Year:1923, Director:Lubitsch.
Star Details - ID:ESl30, Title:There's Always Tomorrow, Year:1934, Director:Sloman.
Star Details - ID:RiF41, Title:The Jazz Singer, Year:1980, Director:R.Fleischer.
Star Details - ID:RA22, Title:Grey Owl, Year:1999, Director:Attenborough.
Star Details - ID:FCk1, Title:Whodunit, Year:1956, Director:F.Cockrell.
Star Details - ID:EPy10, Title:A Dry White Season, Year:1989, Director:Palcy.
Star Details - ID:ASj35, Title:Karin Mansdotter, Year:1954, Director:Sjoberg.
Star Details - ID:AnT12, Title:Nostalgia, Year:1983, Director:Tarkovsky.
Star Details - ID:TdC10, Title:Living in Oblivion, Year:1995, Director:diCillo.
Star Details - ID:NGp10, Title:The Pathfinder, Year:1990, Director:Gaup.
Star Details - ID:PaH128, Title:Annabel, Year:1962, Director:Henreid.
Star Details - ID:EMo15, Title:The Gentle Art of Seduction, Year:1964, Director:Molinaro.
Star Details - ID:SSi115, Title:The Woman Who Turned to Salt, Year:1958, Director:Siliphant.
Star Details - ID:JeD10, Title:Don't Take it to Heart, Year:1944, Director:Dell.
Star Details - ID:GxR20, Title:Situation Hopeless -- But Not Serious, Year:1965, Director:G.Reinhardt.
Star Details - ID:JfB10, Title:Rear Window, Year:1998, Director:Bleckner.
Star Details - ID:FNm5, Title:A Sailor Made Man, Year:1921, Director:Newmeyer.
Star Details - ID:SL39, Title:Daniel, Year:1983, Director:Lumet.
Star Details - ID:HlH9, Title:Henry Fool, Year:1998, Director:Hartley.
Star Details - ID:RtD10, Title:The Long Silence, Year:1963, Director:R.Douglas.
Star Details - ID:WA20, Title:Husbands and Wives, Year:1993, Director:Woody~Allen.
Star Details - ID:KDr10, Title:Paris, Year:1994, Director:Dridi.
Star Details - ID:NR1, Title:They Live By Night, Year:1947, Director:N.Ray.
Star Details - ID:EL46, Title:Lady Windermere's Fan, Year:1925, Director:Lubitsch.
Star Details - ID:EuM10, Title:Pancho Villa, Year:1972, Director:Eu.Marin.
Star Details - ID:CC78, Title:The Great Dictator, Year:1940, Director:Chaplin.
Star Details - ID:NoT12, Title:Snowball Express, Year:1975, Director:Tokar.
Star Details - ID:AVL18, Title:Something Big, Year:1971, Director:McLaglen.
Star Details - ID:JoS18, Title:Batman Forever, Year:1995, Director:Schumacher.
Star Details - ID:LMC14, Title:Make Way for Tomorrow, Year:1937, Director:McCarey.
Star Details - ID:KFr10, Title:Mad Love, Year:1935, Director:Freund.
Star Details - ID:MFe40, Title:Tales of Ordinary Madness, Year:1981, Director:Ferreri.
Star Details - ID:CGl48, Title:The Last Days of Pompeii, Year:1926, Director:Gallone.
Star Details - ID:HBn5, Title:Ivanhoe, Year:1913, Director:Brenon.
Star Details - ID:PlM10, Title:Fathers and Sons, Year:1991, Director:Mones.
Star Details - ID:MBa15, Title:Tonight's the Night, Year:1932, Director:Banks.
Star Details - ID:MVP22, Title:Don't Play Us Cheap, Year:1972, Director:MlVanPeebles.
Star Details - ID:HeE3, Title:The Barton Mystery, Year:1933, Director:H.Edwards.
Star Details - ID:xFr10, Title:Tarzan's Deadly Silence, Year:1970, Director:Friend.
Star Details - ID:W98, Title:Island in the Sky, Year:1953, Director:Wellman.
Star Details - ID:JIv30, Title:Heat and Dust, Year:1982, Director:Ivory.
Star Details - ID:IBy10, Title:Heartbeat, Year:1980, Director:Byrum.
Star Details - ID:ECn185, Title:Bringing Up Father, Year:1946, Director:Cline.
Star Details - ID:DaB30, Title:Painting the Clouds with Sunshine, Year:1951, Director:D.Butler.
Star Details - ID:IFa14, Title:A Bill of Divorcement, Year:1940, Director:Farrow.
Star Details - ID:ChC15, Title:The Third Secret, Year:1964, Director:Ch.Crichton.
Star Details - ID:PDp10, Title:The Forbidden Quest, Year:1994, Director:Delpeut.
Star Details - ID:WiC51, Title:The Tingler, Year:1959, Director:W.Castle.
Star Details - ID:AL2, Title:Nie wieder Liebe, Year:1932, Director:Litvak.
Star Details - ID:BtB25, Title:Too Beautiful for You, Year:1990, Director:Bt.Blier.
Star Details - ID:EL56, Title:One Hour With You, Year:1932, Director:Lubitsch.
Star Details - ID:RDW7, Title:Caribbean Mystery, Year:1954, Director:R.D.Webb.
Star Details - ID:LwT39, Title:Jewel of the Nile, Year:1985, Director:Teague.
Star Details - ID:GBS100, Title:6000 Enemies, Year:1939, Director:Seitz.
Star Details - ID:PMo30, Title:Beethoven' Nephew, Year:1986, Director:Morrissey.
Star Details - ID:FrB21, Title:Le Fleuve aux Grandes Eaux, Year:1993, Director:Back.
Star Details - ID:H30, Title:Young and Innocent, Year:1938, Director:Hitchcock.
Star Details - ID:INw60, Title:My Love, My Son, Year:1970, Director:Newland.
Star Details - ID:RcB13, Title:Cat on a Hot Tin Roof, Year:1958, Director:R.Brooks.
Star Details - ID:Z7310, Title:Behind the Green Door, Year:1973, Director:UnYear73.
Star Details - ID:GTo1, Title:Cinema Paradiso, Year:1989, Director:Tornatore.
Star Details - ID:JqB10, Title:Falbalas, Year:1944, Director:J.Becker.
Star Details - ID:ACy14, Title:Justice est Fait, Year:1950, Director:Cayatte.
Star Details - ID:LiW10, Title:Seven Beauties, Year:1976, Director:Wertmuller.
Star Details - ID:RbR2, Title:Stand By Me, Year:1986, Director:R.Reiner.
Star Details - ID:DPt37, Title:Grumpier Old Men, Year:1995, Director:Petrie.
Star Details - ID:NCo10, Title:The Incredible Hulk, Year:1987, Director:Corea.
Star Details - ID:IrC60, Title:The Man Hunt, Year:1933, Director:I.Cummings.
Star Details - ID:DBl15, Title:An American Tail 2: Fievel Goes West, Year:1991, Director:Bluth.
Star Details - ID:H40, Title:Aventure Malgache, Year:1944, Director:Hitchcock.
Star Details - ID:WLa14, Title:Wife, Doctor, and Nurse, Year:1937, Director:W.Lang.
Star Details - ID:Z9250, Title:In the Line of Duty: Siege at Marion, Year:1992, Director:UnYear92.
Star Details - ID:FrN9, Title:Camille, Year:1927, Director:Niblo.
Star Details - ID:FZ10, Title:High Noon, Year:1952, Director:Zinneman.
Star Details - ID:LlB90, Title:Miss Grant Takes Richmond, Year:1950, Director:Bacon.
Star Details - ID:RMp13, Title:Night Plane from Chungking, Year:1942, Director:R.Murphy.
Star Details - ID:UlG3, Title:Straight Time, Year:1978, Director:Grosbard.
Star Details - ID:LGt40, Title:Shirley Valentine, Year:1989, Director:L.Gilbert.
Star Details - ID:ViS5, Title:The Clodhopper, Year:1917, Director:Schertzinger.
Star Details - ID:PSv13, Title:Metroland, Year:1999, Director:P.Saville.
